country,lat,lon,website,place_type
AU,-36.7356238,144.1334701,marongfamilyhotel.com.au,Facility
AU,-37.8373899,145.1719981,vic.gov.au,Facility
AU,-34.1742718,142.1236161,big4.com.au,Facility
AU,-33.2930975,151.4187453,thegreenyard.com.au,Commerce
AU,-38.1487872,144.3647345,newvisioneyewear.com.au,Commerce
AU,-37.1578197,143.6723216,amherstwinery.com,Facility
AU,-43.1322942,147.8595934,nrmaparksandresorts.com.au,Facility
AU,-23.5226062,134.3968785,nt.gov.au,Facility
AU,-25.9296123,113.5380705,iga.com.au,Commerce
AU,-34.223208,150.5929524,themaccu.com.au,Commerce
AU,-34.3985636,119.3771292,bremerbaymechanical.com.au,Commerce
AU,-29.4237241,153.2126209,macleankennels.com.au,Unknown
AU,-36.0819413,146.9134102,kmart.com.au,Commerce
AU,-42.8312074,147.2855009,hobartshowground.com.au,Facility
AU,-20.6576797,117.2175115,lighthouse.net.au,Facility
AU,-32.0389263,115.9089519,chickentreat.com.au,Facility
AU,-31.9530567,115.8575441,hungryjacks.com.au,Facility
AU,-33.8648572,151.1686684,redlionrozelle.com.au,Facility
AU,-33.8935176,151.2077918,missionaustralia.com.au,Facility
AU,-38.1500456,144.3636346,morrisfinance.com.au,Facility
AU,-27.1718299,152.9776246,eq.edu.au,Facility
AU,-35.2807951,149.1334494,myer.com.au,Commerce
AU,-37.8115774,145.3364959,fortunehut.com.au,Facility
AU,-42.8984167,147.8227543,bangorshed.com.au,Facility
AU,-21.4232981,149.2149515,rslqld.org,Facility
AU,-41.0613836,145.9060021,themenaihotel.weebly.com,Facility
AU,-27.6077415,153.0963032,eq.edu.au,Facility
AU,-33.801024,150.9871352,nsw.edu.au,Facility
AU,-34.206845,142.1389369,caseway.com.au,Commerce
AU,-27.4510149,153.0581369,sidestreet.com.au,Commerce
AU,-31.9728148,116.0594191,coles.com.au,Commerce
AU,-34.9915399,149.0296204,wimbaliri.com.au,Commerce
AU,-32.0667929,115.9581917,wa.edu.au,Facility
AU,-37.7752122,145.4837709,beltainpark.com.au,Facility
AU,-36.5037188,148.3077839,thepeakthredbo.com.au,Facility
AU,-37.8190463,145.0025192,cacom.net.au,Facility
AU,-33.5367194,151.3509573,nsw.gov.au,Facility
AU,-33.8355957,151.0250266,bunnings.com.au,Commerce
AU,-34.9228528,138.5992832,www.guzmanygomez.com,Facility
AU,-38.2024677,145.1249342,libertyoil.com.au,Facility
AU,-36.1296895,144.751593,woolworths.com.au,Commerce
AU,-42.8041228,147.1600841,tas.gov.au,Facility
AU,-33.7548519,150.6944034,www.pcycnsw.org,Facility
AU,-28.0024961,153.3442311,www.regalshowerscreens.com,Commerce
AU,-33.8713991,151.2250096,pottspointliquor.com.au,Commerce
AU,-29.9497016,139.2350178,mtfreeling.com.au,Facility
AU,-26.5732621,148.7898914,woolworths.com.au,Commerce
AU,-37.848107,145.2313028,noosnoodles.com.au,Facility
AU,-37.7096225,145.1228696,vic.gov.au,Facility
AU,-32.7354105,151.5533099,nsw.gov.au,Facility
AU,-32.8104222,151.636156,nationalwireless.au,Facility
AU,-22.3892119,143.0396592,matildamotel.com.au,Facility
AU,-36.6669005,149.8245818,fimacengineering.com.au,Commerce
AU,-30.6453193,152.8538909,nsw.gov.au,Facility
AU,-37.9946574,145.1734971,sharkfin.com.au,Facility
AU,-12.3914727,130.8574153,www.beautyoftatum.com,Commerce
AU,-37.4334289,143.4439173,vic.gov.au,Facility
AU,-27.4880874,153.0094199,kurilpaccc.org.au,Facility
AU,-34.3988806,150.8882287,nsw.edu.au,Facility
AU,-33.39895,149.1513021,nsw.edu.au,Facility
AU,-31.8854463,116.0419831,subway.com.au,Facility
AU,-38.0637132,144.3406897,redrooster.com.au,Facility
AU,-38.3325348,144.3189345,salvationarmy.org.au,Facility
AU,-35.0036502,138.7166156,stirlingbakery.com.au,Commerce
AU,-33.8889435,151.233549,thehughenden.com,Facility
AU,-34.6013498,144.8142211,auscott.com.au,Facility
AU,-33.766427,150.9570239,bunnings.com.au,Commerce
AU,-35.3122037,148.2192798,nsw.edu.au,Facility
AU,-37.5713172,143.8262143,advancedcabinetry.com.au,Commerce
AU,-34.9992021,138.5241703,texasbullmachine.com.au,Commerce
AU,-34.8908888,138.5038218,sa.gov.au,Facility
AU,-38.1066513,144.3528668,beaconlighting.com.au,Commerce
AU,-37.7541822,145.6872062,ridetimeyarravalley.com.au,Facility
AU,-41.4720278,147.1253289,tas.edu.au,Facility
AU,-34.4136313,150.8929518,nsw.gov.au,Facility
AU,-37.7734181,144.998036,tinkernorthcote.com.au,Facility
AU,-37.9380785,145.0680053,sandbelthotel.com.au,Facility
AU,-30.2654267,153.1272914,nsw.gov.au,Facility
AU,-35.1041663,138.5285707,zambrero.com.au,Facility
AU,-36.7095265,144.313831,poysertrucks.com.au,Commerce
AU,-33.8764034,151.2001527,www.ryojiikeda.com,Facility
AU,-33.8725759,151.2072599,www.muji.com,Commerce
AU,-27.5616167,152.9332726,silverdovefunerals.com.au,Commerce
AU,-38.1122173,145.1542337,vic.gov.au,Facility
AU,-28.0986676,153.418077,qld.gov.au,Facility
AU,-28.1113078,153.468541,beachsafe.org.au,Facility
AU,-38.1145331,144.3575172,livetilesglobal.com,Facility
AU,-33.7666162,151.2683639,bunnings.com.au,Commerce
AU,-34.9428601,138.628142,safilm.com.au,Facility
AU,-30.4668605,152.9276948,bellingencabins.com.au,Facility
AU,-38.2431107,143.9857983,hesseruralhealth.net.au,Facility
AU,-26.7065827,152.9677749,kingsmountain.com.au,Commerce
AU,-37.7568306,145.0693046,7eleven.com.au,Facility
AU,-27.6080009,152.7618523,highgrovebathrooms.com.au,Commerce
AU,-37.7993886,144.9912167,www.lionheart.earth,Facility
AU,-33.8284501,151.2299231,www.marilynasfamouspizzacremorne.com,Facility
AU,-37.7416423,145.2798899,bluecrossanimals.org.au,Facility
AU,-27.6099308,152.8066867,taubmans.com.au,Commerce
AU,-38.3261781,144.3170857,quiksilver.com.au,Commerce
AU,-37.8774214,145.0426456,vic.gov.au,Facility
AU,-35.3646751,150.4712391,betta.com.au,Commerce
AU,-37.8059142,144.9775218,roxxispoolroom.com,Commerce
AU,-34.0338867,151.0713439,www.moimkitchen.com,Facility
AU,-37.7929113,145.2823274,platypusjunction.com.au,Facility
AU,-37.7972453,144.9788109,radheychaibar.com.au,Facility
AU,-23.5207821,148.1583918,lutheran.org.au,Facility
AU,-37.8319507,144.8475903,kfc.com.au,Facility
AU,-35.1866646,149.1356206,mycar.com.au,Commerce
AU,-38.1428649,144.3476561,fightcancer.org.au,Commerce
AU,-31.2606643,149.2853147,ambercourtmotorinn.com.au,Facility
AU,-33.7079438,151.2963068,villaggioristorante.com.au,Facility
AU,-37.9372377,145.0369644,www.zonebowling.com,Facility
AU,-32.5128893,115.7452502,peelsubaru.com.au,Commerce
AU,-30.8836748,153.0421539,swrslsc.com.au,Facility
AU,-27.6286717,153.0278438,www.parkinsonplazaseafoods.com,Facility
AU,-37.8313474,145.2149016,danmurphys.com.au,Commerce
AU,-37.9223008,145.234063,vic.gov.au,Facility
AU,-35.2537265,149.4402734,lakegeorgehotel.com.au,Facility
AU,-35.4622527,138.3152683,linksladybay.com.au,Facility
AU,-31.7404727,115.7641718,www.zambrero.com,Facility
AU,-27.4060176,152.9396357,qld.gov.au,Facility
AU,-37.7632356,144.9734137,brunswickeastwine.com,Commerce
AU,-35.9242231,145.662379,vic.edu.au,Facility
