country,lat,lon,website,place_type
BE,50.8315009,4.3599907,www.ponant.com,Facility
BE,50.7490999,3.641373,www.mcronse.eu,Commerce
BE,50.8741598,3.3305422,www.bpost.be,Facility
BE,51.424082,4.4625405,www.essensebandenservice.be,Commerce
BE,50.6239355,6.0372071,doenertag.be,Facility
BE,50.8354588,4.2995992,www.villo.be,Facility
BE,50.7157443,4.3987193,www.sarahpacini.com,Commerce
BE,50.9455854,3.3435098,inventaris.onroerenderfgoed.be,Unknown
BE,50.987422,5.2722977,hetbolderke.be,Facility
BE,51.1988663,3.1855342,www.basisschoolgistelsesteenweg.be,Facility
BE,50.7074333,6.0155136,www.dav-aachen.de,Facility
BE,50.4537329,3.9525484,www.mons-immo.be,Facility
BE,50.8842659,4.528965,www.dex.be,Commerce
BE,50.8960042,3.4263621,www.printburo.be,Commerce
BE,50.7585115,5.7630594,www.auberge-sgravenhof.be,Facility
BE,50.8037764,4.3334104,www.villo.be,Facility
BE,50.6735107,5.5474545,pharmasante.be,Facility
BE,51.0978234,2.5759647,www.zcdekrab.be,Facility
BE,51.086558,3.4488758,www.stat68.be,Facility
BE,51.2987426,4.5183095,www.civieleveiligheid.be,Facility
BE,50.7323629,4.6551859,sofico.org,Facility
BE,51.1551701,4.8923971,www.olen.be,Facility
BE,50.9972451,5.4748411,www.brunosfoodcorner.be,Facility
BE,51.303335,3.1403137,www.zilvermeeuwblankenberge.be,Facility
BE,50.9573561,3.6088368,www.nazareth.be,Facility
BE,51.0356511,3.7126963,www.zonneschijn.be,Commerce
BE,50.5393847,5.7596991,www.restaurant-eau-vive.be,Facility
BE,51.0789454,5.1503615,www.ilumen.be,Unknown
BE,50.9170449,3.2127645,salonkee.be,Commerce
BE,50.9860783,5.0530034,www.kapperdirk.net,Commerce
BE,50.9975982,3.7666395,www.ugent.be,Facility
BE,50.8300824,4.3381718,cycloparking.brussels,Facility
BE,50.6185487,3.3133069,ideta.be,Unknown
BE,51.0511174,3.7250653,www.juttu.be,Commerce
BE,51.2337431,4.4971974,www.storymagazine.be,Unknown
BE,50.8852666,3.3552918,www.sbsdesselgem.be,Facility
BE,51.3140446,4.9906318,www.zeeman.com,Commerce
BE,51.011394,3.9610153,objt.com,Facility
BE,50.1213284,4.9809016,newsokao.be,Facility
BE,51.1511973,4.9025642,www.dirkdewittekappers.be,Commerce
BE,51.0494985,5.2234595,www.sjarbon.be,Commerce
BE,50.782647,3.2808365,www.chiconette.be,Facility
BE,50.3759666,4.2393126,www.robot-coupe.com,Commerce
BE,50.9153467,5.2467062,vbstevoort.sg-zevensprong.be,Facility
BE,51.061184,3.7485837,www.bakkerijaernoudt.be,Commerce
BE,50.9983012,3.3461873,www.thirypaints.be,Commerce
BE,51.2073782,4.3969626,www.politieantwerpen.be,Facility
BE,51.268502,4.8635364,www.lille.be,Facility
BE,51.0631237,3.7214799,www.huisartsenwachtposten.be,Facility
BE,50.5989497,4.3543365,trafic.com,Commerce
BE,51.038914,3.4011413,zonemidwest.be,Facility
BE,51.0554186,5.2728192,hetbierhuis.be,Facility
BE,51.0749425,2.6649979,www.cwgc.org,Unknown
BE,50.5186859,5.2393932,www.croquenoisette.be,Commerce
BE,50.7976287,4.7339399,nouveau.lesaiglons.be,Unknown
BE,51.174941,3.339454,www.tuinhobbystmarie.be,Commerce
BE,50.6754959,5.209263,www.moulindugeer.be,Facility
BE,50.8482037,5.484465,www.tfabriek.be,Facility
BE,51.208308,4.4141443,www.sintjozefinstituut.be,Facility
BE,50.9464527,4.7540362,inventaris.onroerenderfgoed.be,Unknown
BE,51.0227188,4.4807428,hutshop.be,Commerce
BE,50.8613986,2.9159195,www.cwgc.org,Unknown
