country,lat,lon,website,place_type
CH,46.8486437,9.5293531,mooinz.ch,Facility
CH,47.3567788,8.0454036,www.suter-electronics.ch,Commerce
CH,47.0710838,8.2780559,www.notfalltreffpunkt.ch,Facility
CH,46.9438866,7.4734921,www.srgssr.ch,Facility
CH,46.7728292,7.1622747,www.amatai.ch,Commerce
CH,46.9524643,7.4367052,www.ewb.ch,Facility
CH,46.2285832,8.8790146,www.odro.ch,Facility
CH,46.6334778,8.596659,www.meyers-sporthaus.ch,Commerce
CH,46.5200508,6.5636699,restauration.epfl.ch,Facility
CH,46.5567281,6.56158,www.tesla.com,Facility
CH,46.9583878,8.3633902,www.stanserhorn.ch,Facility
CH,46.8384935,8.1732787,siesta-giswil.ch,Facility
CH,47.1072127,8.0846029,www.topshop.ch,Commerce
CH,46.9473412,7.4456958,www.ewb.ch,Facility
CH,46.513563,6.6553778,fondation-fej.ch,Facility
CH,47.3767665,8.5395515,www.christ-swiss.ch,Commerce
CH,47.4985337,8.7309128,www.upswing.ch,Commerce
CH,47.4083237,9.305634,www.fcsg.ch,Facility
CH,47.1620583,8.0887897,www.campus-sursee.ch,Facility
CH,46.4402156,8.9367793,archiviodonetta.ch,Facility
CH,46.9419931,7.4761547,www.ewb.ch,Facility
CH,47.1620865,7.9492281,www.schoetz.ch,Facility
CH,46.9491977,7.3926972,www.ewb.ch,Facility
CH,47.3706727,8.5418291,www.moscot.com,Commerce
CH,47.6758172,8.6140754,zh.ref.ch,Facility
CH,47.36518,8.5212519,www.maisonmanesse.ch,Facility
CH,47.3946959,8.4738119,www.salem-akademie.ch,Facility
CH,47.2522851,8.767681,chezgaspi23.ch,Facility
CH,46.9812227,8.4031142,www.auto-gabriel.ch,Commerce
CH,47.3672247,7.9854314,www.modelgroup.com,Facility
CH,46.946148,7.4547546,www.ewb.ch,Facility
CH,47.1999532,8.7781715,www.savannakhet.ch,Facility
CH,46.820378,9.7118682,gasthausedelweiss.com,Facility
CH,46.9483137,7.4533673,www.kloetzlikeller.ch,Facility
CH,47.2995964,9.1751165,www.missionshaus-alpenblick.ch,Facility
CH,46.9443552,7.3727032,www.ewb.ch,Facility
CH,46.395773,6.9238855,www.restaurantetoile.ch,Facility
CH,45.8673417,8.9842716,www.vignetta.ch,Facility
CH,47.0928199,7.0367135,umap.osm.ch,Facility
CH,47.3742073,8.5433486,7steps.ch,Commerce
CH,47.315643,8.5280447,freizeitanlage-werd.ch,Facility
CH,47.0942475,7.1280841,thimoo.ch,Facility
CH,47.552081,7.5900774,untune.art,Commerce
CH,47.3773782,8.5434172,blumgrob.ch,Facility
CH,47.451836,8.5278709,kartshop.ch,Commerce
CH,47.409481,8.5634338,www.baeckerei-peter.ch,Commerce
CH,47.5268017,8.5413845,www.joozilla.com,Unknown
CH,47.4030912,8.4908283,bravo-ravioli.ch,Commerce
CH,46.9645587,6.8107027,umap.osm.ch,Facility
CH,47.3688423,8.499924,www.triemlitreffpunkt.ch,Facility
CH,46.6319092,6.2609665,les-sr.ch,Facility
CH,47.4954022,8.718275,www.depot195.ch,Facility
CH,47.2652756,9.1604047,stefan-hartmann.ch,Unknown
CH,46.9489395,7.3937107,www.sterchi-beck.ch,Commerce
CH,46.8655334,6.5159534,umap.osm.ch,Facility
CH,47.5205608,8.9338789,www.notfalltreffpunkt.ch,Facility
CH,46.9903653,6.9373965,www.kiosk-art.ch,Facility
CH,46.8137713,6.4827807,www.eoliennes-saintecroix.ch,Unknown
CH,46.0197686,7.7464574,www.zermatt.ch,Facility
CH,46.3693579,9.1257653,www.notfalltreffpunkt.ch,Facility
CH,47.3753696,8.0783071,www.metzgerei-straessle.ch,Commerce
CH,47.5679323,9.3806774,www.sbw-media.ch,Facility
CH,47.3993573,8.4969098,pfleghartag.ch,Commerce
CH,46.4629957,6.8407403,centre-manor-vevey.ch,Commerce
CH,46.3181712,7.9895208,afry.com,Facility
CH,47.5528555,7.5926713,www.negishi.ch,Facility
CH,47.3422098,8.2512245,www.notfalltreffpunkt.ch,Facility
CH,46.3977866,6.9257718,www.ateliergivre.ch,Facility
CH,46.2269852,7.3123738,www.accademia-dellapizza.ch,Facility
CH,46.951134,7.3968128,www.ewb.ch,Facility
CH,47.371927,8.5415342,www.talbotrunhof.com,Commerce
CH,47.2574067,8.7962286,www.sterki.ch,Facility
CH,47.5547406,7.591232,www.troispommes.ch,Commerce
CH,46.6540687,7.7738604,www.leissigen.ch,Facility
CH,46.1876287,6.0130297,www.russin.ch,Facility
CH,47.5248031,8.6230467,www.gasthoftraube.ch,Facility
CH,47.5688583,7.5798807,www.schwarzerpeter.ch,Facility
CH,46.5819162,6.211638,www.theburgerland.ch,Facility
CH,46.1438542,8.8418863,www.gambarogno.ch,Facility
CH,47.5508116,7.5935129,www.vito.ch,Facility
CH,47.2202276,7.0288145,www.juraloisirs.ch,Facility
CH,46.5293735,8.9405246,www.casalucomagno.ch,Facility
CH,46.7136459,6.3906811,www.gigatec.ch,Facility
CH,47.3815173,8.5161998,www.surberareal.ch,Unknown
CH,47.3913296,8.0460132,www.coop-city.ch,Commerce
CH,47.6420933,8.6069026,www.kloster-garten.ch,Facility
CH,47.4983781,8.7211099,www.bluecinema.ch,Facility
CH,47.4457914,8.6431575,www.bollinger.ch,Commerce
CH,47.5008982,8.7218045,www.kindertagesstaette-pinocchio.ch,Facility
CH,47.5368535,8.2269458,www.psi.ch,Facility
CH,47.5069624,8.0218262,www.kosmetikheidischwarb.ch,Commerce
CH,46.9458894,7.4655661,www.ewb.ch,Facility
CH,47.2602363,8.8499769,alseda.ch,Facility
CH,47.6999196,8.6333552,www.magma-ag.ch,Facility
CH,47.4389156,8.558345,www.plattformglattal.ch,Commerce
CH,46.9404793,7.448259,bwl.admin.ch,Facility
CH,46.7925734,10.2453979,florinethftan.ch,Commerce
CH,47.0689672,7.3646946,www.churchillpub.ch,Facility
CH,47.4961016,8.7503053,www.ottos.ch,Commerce
CH,46.208301,6.1238183,www.planete-charmilles.ch,Commerce
CH,46.9543618,7.4309845,www.buecher-brocky.ch,Commerce
CH,47.4469266,8.2117414,www.innovationtower.ch,Unknown
CH,47.1271143,8.746572,www.import-optik.ch,Commerce
CH,46.9764476,7.3585322,places.post.ch,Facility
CH,47.2763147,8.4479209,www.zkb.ch,Commerce
CH,46.1817176,9.001322,www.shell.ch,Facility
CH,47.3822411,8.659604,www.best4pets.ch,Facility
CH,47.3984726,8.6051007,www.socarenergy.ch,Facility
CH,47.4111368,8.594666,www.3punkt5.ch,Commerce
CH,46.4576532,6.9138865,www.guibertpiscicultures.ch,Commerce
CH,47.319109,8.1882693,www.jemako-ch-schaller-trading.com,Commerce
CH,47.4432102,8.1449921,www.prospiel.ch,Commerce
CH,47.4232082,8.4994145,www.da-bella-italia.ch,Facility
CH,47.2582628,8.8487877,filialen.migros.ch,Facility
CH,47.6914771,8.64598,www.feuerthalen.ch,Facility
CH,47.4160224,8.7008563,www.freizeit-ilef.ch,Facility
CH,47.3572609,8.5237078,www.beldona.com,Commerce
CH,47.0909042,6.7534759,umap.osm.ch,Facility
CH,47.1434321,8.5370098,www.vordergeissboden.ch,Facility
CH,46.814287,7.5114629,fiteria.ch,Facility
CH,47.1172289,9.0886291,vtg.admin.ch,Facility
CH,47.1378542,7.2685555,www.velospot.ch,Facility
CH,47.5550757,8.8944243,www.bruderbier.ch,Facility
CH,47.3899146,8.3280243,www.notfalltreffpunkt.ch,Facility
CH,47.4505557,8.2145198,de.burger-king.ch,Facility
CH,47.3915406,8.5247566,www.khausali.ch,Unknown
CH,47.447773,9.050699,www.rickenbach-tg.ch,Facility
CH,47.4165743,9.0606767,www.stall-schoenenberger.ch,Commerce
CH,47.0019734,6.9377411,umap.osm.ch,Facility
CH,47.5532185,7.5813909,jewishstudies.unibas.ch,Unknown
CH,46.2310449,6.0733915,www.aubergedemeyrin.ch,Facility
CH,47.6823338,8.5539784,sh.ch,Facility
CH,47.5109424,8.5443968,www.schurterag.ch,Commerce
CH,47.331857,8.8051503,www.salzh.ch,Unknown
CH,47.4041356,8.6081455,www.netdata.ag,Facility
CH,47.439522,8.4401528,www.pizzavolante.ch,Facility
CH,46.5092047,8.6918605,www.hcap.ch,Facility
CH,46.5730401,6.4816261,www.vullierens.ch,Facility
CH,47.6898909,8.6412454,www.kohlfirst.ch,Facility
CH,47.3625034,9.4542517,www.gais.ch,Facility
CH,47.546037,9.3006551,orthopaedie-rick.ch,Commerce
CH,47.2006401,8.7913974,www.migrol.ch,Commerce
CH,46.6983636,9.156109,lastizun.ch,Commerce
CH,47.1979745,7.523694,pier11.ch,Facility
CH,47.4114497,9.0397206,le-gym.ch,Facility
CH,47.3835177,8.4957389,basefit.ch,Facility
CH,47.0681787,9.0592088,www.arena.ch,Facility
CH,47.0592103,7.6206668,filialen.migros.ch,Facility
CH,47.5668368,7.5909791,www.friendshipbasel.ch,Commerce
CH,46.461048,6.8550769,www.mobility.ch,Facility
CH,46.5179459,6.5065115,www.relais.ch,Facility
CH,47.5824612,8.9035083,www.armee.ch,Unknown
CH,46.9951872,6.9423538,www.leratconteur.ch,Commerce
CH,46.6206885,7.09452,www.la-gruyere.ch,Facility
CH,46.6888627,6.9084346,www.popepoppa.ch,Facility
CH,47.1091815,8.7268783,www.zurichvitaparcours.ch,Facility
CH,46.2231626,7.2966421,www.kfc-suisse.ch,Facility
CH,46.2873615,7.8836502,www.hopitalduvalais.ch,Facility
CH,47.4470394,8.6028209,www.horizon-sfa.ch,Facility
CH,47.2606682,8.1131115,www.ihrquartier.ch,Facility
CH,47.39537,8.4858062,www.haeusermann.com,Commerce
CH,47.3263551,7.8512786,www.schulekappel.ch,Facility
CH,47.6981106,8.6332776,www.swisscom.ch,Commerce
CH,47.5666217,7.5924914,www.rouine.ch,Facility
CH,47.1384897,9.1300183,www.amden-weesen.ch,Facility
CH,46.6317862,9.7440479,www.notfalltreffpunkt.ch,Facility
CH,47.3614351,8.5224414,www.baeckerei-gold.ch,Commerce
CH,46.9456615,7.475585,www.phbern.ch,Facility
CH,46.9478888,7.4500517,www.ewb.ch,Facility
CH,46.8207744,6.9364032,www.au-cerf.ch,Facility
CH,46.9459598,8.9947047,www.ferienhaus-braunwald.ch,Facility
CH,47.5210495,8.7903616,www.alwisent.ch,Facility
CH,47.0160458,8.6462466,www.kuoni.ch,Commerce
CH,47.3618823,8.5598141,www.schneiderei-atelier-yeghiyan.ch,Commerce
CH,46.4587655,6.8478887,www.pediatre-vevey.ch,Facility
CH,47.4140269,9.4331068,www.skiliftvoegelinsegg.ch,Facility
CH,47.1017679,6.8231416,www.pizzaplus-ne.ch,Facility
CH,47.5174001,8.5413684,www.migrosbank.ch,Commerce
CH,47.3685294,7.3387326,www.h-ju.ch,Facility
CH,47.4109744,8.5589961,www.schaub-zh.ch,Commerce
CH,46.2028949,6.1571977,www.galerie123.com,Facility
CH,46.8021303,7.028259,www.noreaz.ch,Facility
CH,47.1804715,8.5125827,oohcurry.ch,Facility
CH,47.4997553,8.7290416,www.blue-tomato.com,Commerce
CH,46.9328294,7.4198141,dreigaenger.ch,Facility
CH,46.1439582,7.236982,www.4vallees4saisons.com,Unknown
CH,47.270146,9.1047724,bergpulli.ch,Commerce
CH,47.2682647,8.8144593,www.refkirche-bubikon.ch,Unknown
CH,47.4918431,8.5041368,www.apotheke.ch,Facility
CH,46.9606474,7.4459911,www.ewb.ch,Facility
CH,47.2006111,8.7935686,www.tuipfaeffikon.ch,Commerce
CH,46.2466905,6.1412195,www.kermont.ch,Facility
CH,47.5069919,9.0295762,kreier-bedachungen.ch,Commerce
CH,46.6712187,6.8538119,www.lucens.ch,Facility
CH,46.9467428,7.4394264,www.haarmania.ch,Commerce
CH,47.0104965,8.644006,restaurant-erlen.ch,Facility
CH,46.9479127,7.4599208,www.publibike.ch,Facility
CH,46.3253339,10.0578563,caseificio.ch,Commerce
CH,46.2678211,6.9574586,www.garage-alize.ch,Commerce
CH,46.9264015,7.4346905,www.meier-haushaltapparate.ch,Commerce
CH,46.7791353,6.6372601,capitalservices.ch,Commerce
CH,46.2217821,7.3259386,www.heritier-sa.ch,Facility
CH,46.596563,6.640643,www.bretigny.ch,Facility
CH,47.1651467,8.2842887,de.burger-king.ch,Facility
CH,47.3203363,8.7945093,www.servicepoint.ch,Facility
CH,46.6330273,8.5950508,hotelsonneandermatt.ch,Facility
CH,46.5004363,9.8445876,www.kulm.com,Facility
CH,47.3859997,8.4995797,www.denner.ch,Commerce
CH,47.3251753,8.8705972,www.sagistockrueti.ch,Facility
CH,47.696087,8.6359629,www.zweiblatt.ch,Commerce
CH,47.3929208,8.5120131,www.billsburger.ch,Facility
CH,46.9199397,7.437834,www.gurtenpark.ch,Facility
CH,47.3777282,9.5422009,www.altstaetten.ch,Facility
CH,47.5845822,7.6576995,www.sonnenhalde.ch,Facility
CH,47.1927702,7.7037385,www.baertschiag.ch,Commerce
CH,46.2584551,7.9026151,www.gebidem.ch,Facility
CH,47.0904853,7.7949685,www.notfalltreffpunkt.ch,Facility
CH,47.4056091,8.0078702,cba.clientis.ch,Commerce
CH,47.6643575,9.1355013,www.drachenburg.ch,Facility
CH,47.4581679,8.439521,www.metzgerei-bodmer.ch,Commerce
CH,47.1097738,7.391221,www.schnottwil.ch,Facility
CH,47.3730001,8.5438598,brasserie-louis.ch,Facility
CH,46.7585904,7.6157945,www.rossmetzgthun.ch,Commerce
CH,47.5471251,7.5651173,www.bkb.ch,Commerce
CH,47.2103539,7.7898251,www.notfalltreffpunkt.ch,Facility
CH,47.2551575,8.6112654,www.yarmarka.ch,Commerce
CH,47.5410709,7.6198055,www.newyorker.de,Commerce
CH,46.9664771,7.4568177,www.ewb.ch,Facility
CH,47.4000283,8.6247323,capetownhair.ch,Commerce
CH,46.6404228,8.5910722,www.andermatt-swissalps.ch,Facility
CH,46.7604615,9.144157,camping-surcuolm.ch,Facility
CH,46.8175653,7.3410554,www.calma.ch,Facility
CH,46.4313269,9.7601135,www.silserhof.ch,Facility
CH,47.1329518,7.2390195,www.centremuller.ch,Facility
CH,47.5480685,7.5511303,www.stagecom.ch,Unknown
CH,47.1329113,7.2444157,www.asiakitchenfu.ch,Facility
CH,47.2355722,7.6546912,www.krone-wangen.ch,Facility
CH,47.4700817,8.1288384,garten-linn.ch,Facility
CH,47.5153538,9.4342578,www.lutzifer-pub.ch,Facility
CH,46.8154611,7.1320646,jaccoud.ch,Commerce
CH,46.9522798,7.4346227,www.nccr-trade.org,Facility
CH,47.13207,7.24566,www.mobility.ch,Facility
CH,46.9339871,7.418848,www.ernstgerber.ch,Facility
CH,46.5365855,6.6348808,restaurantlaforet.com,Facility
CH,47.6524197,9.1666386,www.outofbounds.eu,Facility
CH,47.3927407,8.5145015,de.nttdata.com,Facility
CH,47.1674232,8.5150387,www.gotthaerdli.ch,Facility
CH,47.1353125,7.2430046,www.lokal-biel.ch,Facility
CH,46.5218005,6.7167308,luchino-bio.ch,Commerce
CH,47.0240626,6.8084989,umap.osm.ch,Facility
CH,47.3722666,8.5296871,www.fux-ag.ch,Commerce
CH,47.3910844,8.523258,mannhard.ch,Facility
CH,47.1386004,7.245525,comptoir-du-the.ch,Commerce
CH,47.3497246,7.9034519,www.bodega-olten.ch,Facility
CH,46.2328844,7.3603137,www.bagdadcafe.ch,Facility
CH,47.482317,8.4579197,amigopizza.ch,Facility
CH,46.4785887,6.4619548,www.dive-links.com,Facility
CH,46.9423139,7.4119179,www.ewb.ch,Facility
CH,46.678843,7.8514061,www.rugenpark.ch,Facility
CH,45.8436511,9.0290937,www.concabella.ch,Facility
CH,47.1919283,8.4772999,www.officeworld.ch,Commerce
CH,46.9485168,7.4548211,www.ewb.ch,Facility
CH,47.5580133,7.5882449,vicafe.ch,Facility
CH,46.8116411,7.1955061,www.bise.ch,Commerce
CH,47.5251803,8.9035733,www.tagesschule-haeuslenen.ch,Facility
CH,46.9473507,7.4493627,www.surang.ch,Facility
CH,46.6673047,8.5851549,www.kw-goeschenen.ch,Unknown
CH,46.8830913,8.6129917,klosterhof-seedorf.ch,Commerce
CH,46.9315777,9.7543788,www.restaurantdiana.com,Facility
CH,46.7483047,8.1016726,www.schildag.ch,Commerce
CH,46.9399952,7.4409008,www.aldi-suisse.ch,Commerce
CH,46.9450944,7.4365053,www.app.ch,Facility
CH,47.4570858,8.744344,www.ilef.ch,Facility
CH,46.8027656,7.1677802,www.marionnette.ch,Facility
CH,47.1928572,8.8288962,www.autotrachsler.ch,Commerce
CH,47.498045,8.7185001,www.ecap.ch,Facility
CH,45.8569556,9.0389091,www.comunebreggia.ch,Facility
