country,lat,lon,website,place_type
DK,57.052744,9.91634,esaan.dk,Facility
DK,55.708345,12.5653211,www.supermacservice.dk,Commerce
DK,55.7862087,11.7940843,www.oroecamping.dk,Facility
DK,55.1460428,8.4949749,frudax.dk,Facility
DK,55.3548658,11.3914702,fodsporet.dk,Facility
DK,55.7814877,12.4818111,cykelaffaren.business.site,Commerce
DK,55.6875535,9.5513704,www.vindinggaardcenter.dk,Facility
DK,55.0652369,9.3649323,washworld.dk,Facility
DK,55.4657263,8.4691456,boernepasning.esbjerg.dk,Facility
DK,56.13639,8.977946,kyllingogco.dk,Facility
DK,55.414444,12.256191,ginkassen.dk,Facility
DK,55.6041478,10.3327239,udinaturen.dk,Facility
DK,55.6641868,12.6013586,amagerfiskehus.dk,Commerce
DK,55.0681536,9.7470906,www.munkegaard-traktormuseum.dk,Facility
DK,57.2847317,10.9371707,laesoecamping.dk,Facility
DK,55.641416,9.650074,primo-vino.dk,Commerce
DK,57.0503104,9.9213246,roxana.dk,Facility
DK,55.1759556,8.9441401,udinaturen.dk,Facility
DK,55.6842865,12.5858554,lysarmaturlageret.dk,Commerce
DK,56.486488,9.6013626,dca.au.dk,Facility
DK,56.5527472,8.2963712,www.mfrk.dk,Facility
DK,55.0412346,9.792745,www.pizzavenezia.dk,Facility
DK,54.9343367,9.2632314,peabasfalt.dk,Facility
DK,55.397012,10.383303,www.godevine.dk,Commerce
DK,54.8974783,10.6122361,www.aeroexpressen.dk,Facility
DK,55.5403885,9.674603,www.deme-group.com,Unknown
DK,55.6617289,12.5979076,www.restaurantmenuen.dk,Facility
DK,55.7103679,12.5522438,www.lejetlig.dk,Facility
DK,55.858614,12.156725,lykkesholm.nu,Commerce
DK,55.6587007,9.7349181,www.visitvejle.dk,Facility
DK,55.7708922,12.50268,cafeamalie.net,Facility
DK,55.6941918,12.5992816,langeliniehavn.dk,Facility
DK,55.6928214,12.4341343,www.br.dk,Commerce
DK,55.2510825,9.4841995,www.igourmethaderslev.dk,Facility
DK,55.286407,12.401037,www.søndergård.com,Commerce
DK,56.2675386,8.2983304,dortheflak.dk,Facility
DK,54.7978018,11.640994,www.sakskoebing-vandrerhjem.dk,Facility
DK,55.7033572,9.3624853,vejlefodboldgolf.dk,Facility
DK,56.3774794,8.620035,www.allego.eu,Facility
DK,55.4248069,10.4109819,www.jw.org,Facility
DK,55.4900668,10.2430235,www.sondersosportscafe.dk,Facility
DK,55.7378437,8.1844501,www.hennestrandcamping.dk,Facility
DK,54.9296777,11.8289887,www.vig-gaarden.dk,Facility
DK,55.9622447,12.5337807,strandvejskirken.dk,Facility
DK,55.6762359,12.5417976,www.bog-ide.dk,Commerce
DK,55.6690873,12.6110657,www.amagerbanensvenner.dk,Facility
DK,55.653525,12.279737,gadehavegaard.dk,Facility
DK,55.8141559,9.0491733,www.oyfilskov.dk,Facility
DK,55.9166787,9.9288768,www.tracer.dk,Facility
DK,55.9110095,10.2543086,www.hou-kajakklub.dk,Facility
DK,55.6668636,12.5589364,www.camping.bar,Facility
DK,55.8367189,12.0560084,kuf.dk,Facility
DK,56.0169044,12.198741,www.shell.dk,Facility
DK,55.6993724,12.5774741,www.kk.dk,Facility
DK,56.380878,8.585492,vedovo-vine.business.site,Commerce
DK,55.4275636,8.6576313,bovia.dk,Unknown
DK,56.1999643,10.6800577,www.bryggertorvetspizzaria.dk,Facility
DK,54.852306,10.5062191,www.solarmarstal.dk,Unknown
DK,56.1378954,9.1423255,www.holmlandbiler.dk,Commerce
DK,56.3748578,9.6576331,www.bygholm-online.dk,Commerce
DK,57.2042933,10.4935006,udinaturen.dk,Facility
DK,55.2452559,9.4880542,www.hertughans-skole.dk,Facility
DK,56.34782,9.9345648,www.bidstrupgods.dk,Facility
DK,55.6871764,12.5493747,www.picopizza.dk,Facility
DK,55.1068909,9.4970876,aabenraagolf.dk,Facility
DK,55.0344663,10.5411378,www.svendborg-havn.dk,Facility
DK,55.6943498,12.4129101,www.daells-bolighus.dk,Commerce
DK,57.0013855,9.8721465,www.thansen.dk,Commerce
DK,55.6935689,12.5777394,www.jordtbord.dk,Commerce
DK,55.648917,9.662691,gauerslund-sogn.dk,Unknown
DK,55.7037596,12.5371833,kea.dk,Facility
DK,55.5051766,8.4667153,www.ekc.dk,Facility
DK,55.0331838,9.4047744,rema1000.dk,Commerce
DK,55.6827296,12.5865208,herefordsteak.dk,Facility
DK,57.0256969,10.1128798,udinaturen.dk,Facility
DK,56.3796943,8.9094946,udinaturen.dk,Facility
DK,55.867807,12.233099,ufc.dk,Facility
DK,55.843462,12.0891635,udinaturen.dk,Facility
DK,55.7036251,12.5882662,hair-beauty.dk,Commerce
DK,56.6523061,9.8694495,bramslevbakker.dk,Facility
DK,55.4808283,8.4126987,www.onelineage.com,Facility
DK,56.3050047,8.4989935,udinaturen.dk,Facility
DK,55.6595483,12.6404142,www.respektforvand.dk,Facility
DK,55.6865297,12.5513003,kulturn.kk.dk,Facility
DK,55.4196151,10.2737718,www.apoteket.dk,Facility
DK,56.0848816,8.6898099,www.vemu.dk,Facility
DK,57.723417,10.55635,www.skagenhotel.com,Facility
DK,54.8967821,9.6181823,www.marinaminde.dk,Facility
DK,55.3653505,10.3834795,denfynskelandsby.dk,Facility
DK,55.2795897,9.2951556,btbwine.dk,Facility
DK,56.1828079,9.0424045,www.dropzonedenmark.dk,Facility
DK,55.4022844,10.40851,www.restaurant-aro.dk,Facility
DK,56.0988161,9.7624895,udinaturen.dk,Facility
DK,57.1007501,9.5153956,info.jobnet.dk,Facility
DK,55.6425291,12.6518245,www.taarnby.dk,Facility
DK,56.1272087,9.0270915,elia.dk,Facility
DK,56.1355336,9.0968039,www.nonstop.dk,Facility
DK,54.9071446,9.5991714,www.danskehavnelods.dk,Unknown
DK,55.5984888,8.4255475,www.vardeaadallam.dk,Commerce
DK,55.717157,12.5776067,copenhagen.astonmartindealers.com,Commerce
