country,lat,lon,website,place_type
FI,61.1105225,22.1678746,www.villamajatalot.fi,Facility
FI,67.4127713,26.5903424,asiointi.poliisi.fi,Facility
FI,60.1647232,24.9508903,zhen.fi,Facility
FI,60.1854997,24.9827788,www.hamhelsinki.fi,Facility
FI,60.1545463,24.8804491,www.lidl.fi,Commerce
FI,64.1849548,29.5769597,www.lentuankoski.fi,Facility
FI,60.217516,24.810422,www.espoonseurakunnat.fi,Facility
FI,64.113629,28.230973,www.vuokatti.fi,Facility
FI,60.2588493,24.849118,www.managaia.com,Commerce
FI,61.4991792,23.7834296,www.pirha.fi,Facility
FI,63.7105641,29.9106629,www.pohjoiskarjalankelkkaurat.fi,Facility
FI,64.6845762,24.4886992,www.raahentanssiklubi.com,Facility
FI,60.1805235,24.924872,barteos.fi,Facility
FI,60.9866521,24.4411287,www.kktavastia.fi,Commerce
FI,60.4499212,22.2704732,www.fancylook.fi,Commerce
FI,60.7719194,23.6785311,www.valkeaniemenpirtti.fi,Facility
FI,60.2499004,24.8987179,reittiopas.hsl.fi,Facility
FI,60.29348,25.0370159,www.saastopankki.fi,Commerce
FI,66.5029825,25.7256512,ohjaamot.fi,Facility
FI,61.1446672,21.3028683,www.kylmapihlaja.com,Facility
FI,62.2460588,26.1390936,www.nokkakivi.fi,Facility
FI,67.6040318,24.1693801,shop.destinationlapland.com,Facility
FI,60.6133377,24.8519029,www.vehkacenter.com,Facility
FI,60.867559,26.6982054,www.ruokapaikka.fi,Facility
FI,60.4889033,26.8988355,www.kotopas.fi,Unknown
FI,68.0336992,24.2742565,nationalparks.fi,Facility
FI,60.184962,24.9532631,www.fleida.fi,Commerce
FI,60.1438864,20.6915251,www.alandstrafiken.ax,Facility
FI,60.2753314,25.0979623,www.suomi.fi,Facility
FI,60.180576,24.7606603,www.scc.fi,Commerce
FI,60.6167413,24.8406181,www.hyvinkaa.fi,Facility
FI,60.4592264,22.2749784,www.tiedekoulu.fi,Facility
FI,60.293398,25.0345996,www.picnic.fi,Facility
FI,60.8740139,26.7155415,kaakau.fi,Facility
FI,60.3159511,25.0243426,aikataulut.reittiopas.fi,Facility
FI,60.238391,24.9017587,reittiopas.hsl.fi,Facility
FI,61.0086841,24.3960738,www.hameenlinna.fi,Facility
FI,61.503205,23.7616294,www.nysse.fi,Facility
FI,62.2508385,29.7399963,www.pohjoiskarjalankelkkaurat.fi,Facility
FI,62.2739822,25.7785917,www.tmtpro.fi,Commerce
FI,66.3164258,23.6712997,ylitornio.fi,Facility
FI,61.5022439,23.7812413,www.vaarinvarasto.fi,Commerce
FI,68.4316093,26.9217841,www.luontoon.fi,Facility
FI,60.1875026,24.9187551,www.huolto39.fi,Facility
FI,63.1016515,21.6033782,www.vaasa.fi,Facility
FI,60.4857692,22.0679809,mallassepat.fi,Commerce
FI,60.3040441,25.1042724,reittiopas.hsl.fi,Facility
FI,60.1715476,24.9343987,www.hamhelsinki.fi,Facility
FI,63.3597277,23.4669688,www.liikenneasemamantyhovi.fi,Facility
FI,60.1389834,24.9893811,www.restaurantwalhalla.com,Facility
FI,60.2125326,24.786289,www.espoo.fi,Unknown
FI,62.2395319,25.7414327,torkkelijewellery.com,Commerce
FI,61.8392406,22.4687604,www.sotilaskoti.com,Facility
FI,63.1400852,27.8595677,www.kuopio.fi,Unknown
FI,61.1129428,25.9288733,www.matkakeidas.fi,Unknown
FI,61.1563218,25.6026006,www.powertool-sahko.fi,Commerce
FI,60.1616648,24.738227,parati.fi,Commerce
FI,61.4945513,23.9138248,mikonleipa.fi,Unknown
FI,62.8927686,27.6985944,ravintolalaivatoivo.fi,Facility
FI,61.5612946,26.9488822,www.mikkelinmoottorikerho.fi,Facility
FI,60.1884846,24.9184702,www.hautaushuolto.com,Commerce
FI,61.5667088,21.5581319,www.kotipizza.fi,Facility
FI,64.8618925,25.5219134,www.abcasemat.fi,Facility
FI,60.1652466,24.9011716,www.comptel.com,Facility
FI,60.2988165,25.1052234,www.king4fit.fi,Facility
FI,62.3016408,27.1532035,pieksamakiseura.fi,Facility
FI,62.5506547,24.0688732,www.besthamburgers.fi,Facility
FI,60.2149647,24.7604376,www.gogolflounge.fi,Facility
FI,60.1698223,24.9272796,www.hotelhelka.com,Facility
FI,64.8092802,25.4117849,www.parkhotelliminka.fi,Facility
FI,60.2272575,25.0086941,www.mustijamirri.fi,Commerce
FI,60.1598393,24.6945336,www.liila.fi,Commerce
FI,63.7702373,24.2376511,www.tomoke.com,Unknown
FI,60.2902668,24.9657398,www.aleksi13.fi,Commerce
FI,61.4950884,23.7672973,www.finnpark.fi,Facility
