country,lat,lon,website,place_type
JP,42.5895723,142.1274234,hokkaido-c.ed.jp,Facility
JP,35.9716436,139.7928044,e-map.ne.jp,Commerce
JP,43.0584827,141.316922,homes.co.jp,Unknown
JP,35.6998022,139.4825521,mecaman.biz,Facility
JP,36.2104852,136.1364667,hokuriku-plant.co.jp,Facility
JP,40.7968834,140.4507812,haruyama.jp,Commerce
JP,35.6949581,140.6335338,asahi.chiba.jp,Facility
JP,38.298221,140.6814422,e-map.ne.jp,Commerce
JP,35.3379345,139.2177453,www.satomachicafe.com,Facility
JP,34.575825,134.999631,nijigennomori.com,Facility
JP,35.6861914,139.6980925,sej.co.jp,Commerce
JP,43.0714314,141.3044791,homes.co.jp,Unknown
JP,43.0668016,141.3221522,www.aeon-hokkaido.jp,Facility
JP,35.7414645,139.7049265,ita.ed.jp,Facility
JP,35.7826306,139.7975473,sej.co.jp,Commerce
JP,35.661259,140.0647566,sugahara-makuhari.ed.jp,Facility
JP,43.8031168,143.8940334,www.fujii-dtc.com,Facility
JP,43.1120205,141.3004342,www2.wagamachi-guide.com,Facility
JP,34.6126105,135.5892596,sej.co.jp,Commerce
JP,40.8181213,140.7440205,ao-chiyoda.co.jp,Facility
JP,35.7886393,139.2728624,sunkisystem.co.jp,Unknown
JP,42.7758784,141.6070656,web-ckk.com,Facility
JP,34.6897271,135.2699158,www.starwoodhotels.com,Facility
JP,37.8662501,138.9387464,niigata-u.ac.jp,Unknown
JP,34.6647556,133.9076154,mlit.go.jp,Facility
JP,34.7961362,135.248252,alimali.jp,Facility
JP,35.2295644,139.6152291,yokosuka-arena.jp,Facility
JP,34.7470241,138.9960098,kamaya.biz,Commerce
JP,35.3785621,139.5306159,daiwahouse.co.jp,Commerce
JP,37.503524,139.9316753,aizuwakamatsu.fukushima.jp,Facility
JP,36.1382362,137.2476944,www.irori-sosuke.com,Facility
JP,34.4943455,133.5265716,family.co.jp,Commerce
JP,43.0620135,141.3061585,jp-bank.japanpost.jp,Commerce
JP,43.0783461,141.3002884,homes.co.jp,Unknown
JP,35.79752,139.2980983,reserva.be,Commerce
JP,36.3790912,140.4636158,izumi2.com,Commerce
JP,35.3691383,139.4520089,akindo-sushiro.co.jp,Facility
JP,38.8903198,139.8513672,eneos-ss.com,Facility
JP,34.6996382,135.5006587,isomaru.jp,Facility
JP,33.1591232,130.3945606,seiryufoods.co.jp,Facility
JP,35.6498583,139.7046879,www.springvalleybrewery.jp,Facility
JP,34.7827346,138.7686712,www.kayama-yuzo-museum.com,Facility
JP,34.2576407,135.1816234,wakayama-wky.ed.jp,Facility
JP,33.6354844,130.4378549,tamago-house.jp,Commerce
JP,38.5721257,140.9674792,yoitochi.com,Facility
JP,43.154691,141.3008813,sej.co.jp,Commerce
JP,35.5215025,137.8120187,iida.lg.jp,Facility
JP,33.9987674,133.8796438,miyoshi.ed.jp,Facility
JP,43.0843312,141.410776,hokkaido-nissan.co.jp,Commerce
JP,34.7352973,135.4281893,amagasaki-wedding.com,Facility
JP,32.875971,130.6612601,www.kichijien.jp,Facility
JP,38.2232194,140.8710885,docomo-cycle.jp,Facility
JP,34.4784583,136.7304729,mcdonalds.co.jp,Facility
JP,26.5259482,127.930051,kariyushi-oceanspa.jp,Facility
JP,38.1651739,140.897869,www.suzumuraganka.jp,Facility
JP,34.5751158,133.7690109,suzuki.co.jp,Commerce
JP,43.0634752,141.3143306,homes.co.jp,Unknown
JP,38.2624798,140.8780857,as.chizumaru.com,Commerce
JP,42.8400521,141.6327713,miyoshino-sapporo.jp,Facility
JP,43.0654895,141.3302138,hokutake.co.jp,Facility
JP,34.6686008,135.4991016,newjapan.co.jp,Facility
JP,35.5220643,140.1697546,unagi-yawataya.co.jp,Facility
JP,43.0973741,141.4153255,hokkaido.lg.jp,Facility
JP,34.625887,134.1562975,nippon-olive.info,Facility
JP,34.692713,135.4842866,551horai.co.jp,Facility
JP,38.2234939,140.9094281,tohoku-nichireki.co.jp,Facility
JP,35.0284773,139.9242584,mishostation.square.site,Facility
JP,35.6567185,139.6957034,about-life.coffee,Facility
JP,35.7541915,139.3848044,www.white-bs.com,Commerce
JP,38.3131655,140.8822625,zoozoo-company.com,Commerce
JP,34.5965,133.7745942,www.eritate.com,Commerce
JP,36.3027624,136.3151159,kaga.ishikawa.jp,Facility
JP,35.9413628,138.4723786,nao.ac.jp,Facility
JP,35.4565179,137.8331462,www.go-nagano.net,Facility
JP,35.0110656,135.7618849,sej.co.jp,Commerce
JP,43.0351819,141.3440461,shinmaywa.co.jp,Facility
JP,38.2677792,140.8047006,sendai-athens.com,Facility
JP,35.7148069,140.1059175,sej.co.jp,Commerce
JP,35.1239925,140.1744114,kamogawahills.com,Facility
JP,34.9875791,135.8295389,rakuwa.or.jp,Facility
JP,35.7784063,139.9972263,kamagaya-bc.com,Facility
JP,40.6167495,140.5498558,hirakawa.lg.jp,Facility
JP,42.9643432,141.2671738,www2.wagamachi-guide.com,Facility
JP,35.8001588,139.1847613,www.sawanoi-sake.com,Facility
JP,35.9693235,139.5815147,wos.pizzahut.jp,Facility
JP,35.635864,138.7927641,kcnet.ne.jp,Facility
JP,34.8855777,136.5834875,m-king.co.jp,Facility
JP,35.6920985,139.8088041,negb.co.jp,Facility
JP,35.7000393,139.7719984,akiba-maidcafe.co.jp,Facility
JP,34.7863992,134.806544,ohsho.co.jp,Facility
JP,34.6167139,133.9694318,family.co.jp,Commerce
JP,32.6069824,130.4711433,uki.kumamoto.jp,Unknown
JP,26.1905756,127.7085843,lawson.co.jp,Commerce
JP,38.2560044,140.8692069,sendai-c.ed.jp,Facility
JP,40.7864635,140.7624579,family.co.jp,Commerce
JP,35.7670863,139.8038746,nttdocomo.co.jp,Commerce
JP,34.736856,135.3740877,www.yoshidashika-clinic.com,Facility
JP,26.4120249,127.7291906,www.shinka-okinawa.com,Commerce
