country,lat,lon,website,place_type
PT,38.7828487,-9.1223486,revelar.lisboa.pt,Facility
PT,39.7518014,-8.8076415,clinicaddinis.com,Facility
PT,38.7064484,-8.9767828,www.mun-montijo.pt,Facility
PT,41.1511438,-8.6109014,www.germanodesousa.com,Facility
PT,37.1270609,-8.5216092,www.waterflow.pt,Commerce
PT,37.4651402,-8.5262844,valentim.org,Facility
PT,38.6973538,-9.2044545,revelar.lisboa.pt,Facility
PT,41.0432358,-8.566625,www.isq.pt,Facility
PT,38.4602171,-9.1053718,www.saltodanjo.pt,Commerce
PT,38.3932423,-28.2504118,www.cm-lajesdopico.pt,Facility
PT,40.6018005,-8.6704047,museumaritimo.cm-ilhavo.pt,Facility
PT,39.0950123,-9.2556846,www.mobie.pt,Facility
PT,38.518991,-9.0185705,avazeitao.pt,Facility
PT,40.8868652,-8.4339147,scrif.igeo.pt,Facility
PT,38.7197862,-9.1211674,revelar.lisboa.pt,Facility
PT,38.6978217,-9.2188301,www.marianuvem.pt,Commerce
PT,38.7129638,-9.1300925,revelar.lisboa.pt,Facility
PT,41.5999305,-8.4593603,www.gnr.pt,Facility
PT,40.1837999,-8.4039597,bonna.pt,Commerce
PT,38.7192386,-9.1672462,revelar.lisboa.pt,Facility
PT,41.4731877,-6.4892768,valentim.org,Facility
PT,38.5832297,-8.8238466,com.sapo.pt,Facility
PT,41.80975,-6.762658,www.guiadosrestaurantes.net,Facility
PT,40.9639723,-7.2610275,www.mobie.pt,Facility
PT,38.9695546,-9.3628637,adrakaratejb.wordpress.com,Facility
PT,38.7413448,-9.1762615,www.gira-bicicletasdelisboa.pt,Facility
PT,38.9042953,-8.8442044,dev.igeo.pt,Facility
PT,39.0821933,-9.2618384,www.mobie.pt,Facility
PT,39.7514772,-8.8055158,laskasas.com,Commerce
PT,38.7317943,-9.1524106,revelar.lisboa.pt,Facility
PT,38.7617366,-9.0987474,revelar.lisboa.pt,Facility
PT,38.7340317,-9.1445269,revelar.lisboa.pt,Facility
PT,41.816633,-8.8687123,www.mobie.pt,Facility
PT,40.2180218,-8.0550659,www.mobie.pt,Facility
PT,39.7414237,-8.8044744,www.saoluishotel.com,Facility
PT,38.7483467,-9.1488962,revelar.lisboa.pt,Facility
PT,40.2640081,-7.4908269,farmaciasant-ana.pt,Facility
PT,41.731888,-7.4674085,www.leroymerlin.pt,Commerce
PT,38.7582278,-9.3807524,www.mobie.pt,Facility
PT,37.8504058,-25.1717612,www.casadalfaias.com,Facility
PT,37.5783932,-8.4100759,valentim.org,Facility
PT,41.3650344,-8.5986667,www.anuariocatolicoportugal.net,Unknown
PT,40.8233148,-7.5657008,dev.igeo.pt,Facility
PT,38.7473539,-9.1528034,labslisboa.com,Facility
PT,41.146563,-8.5967905,viralata.sede.pt,Facility
PT,38.5389686,-9.0290864,site.aveazeitao.pt,Facility
PT,38.7631116,-9.3085443,almaveterinaria.pt,Facility
PT,38.7474632,-9.1125155,revelar.lisboa.pt,Facility
PT,41.6210375,-7.053509,valentim.org,Facility
PT,38.74264,-9.1374427,chavesaliança.pt,Commerce
PT,38.7597781,-9.187965,revelar.lisboa.pt,Facility
PT,32.7176271,-17.1700544,www.letsbuggy.pt,Commerce
PT,37.4029146,-8.2473618,valentim.org,Facility
PT,41.2768631,-8.3804307,www.mobie.pt,Facility
PT,41.1827987,-7.4284175,www.roteirododouro.com,Facility
PT,38.710926,-9.1289425,revelar.lisboa.pt,Facility
PT,39.6221674,-7.8778294,valentim.org,Facility
PT,37.7480183,-8.6970058,valentim.org,Facility
PT,38.7174082,-9.1532079,revelar.lisboa.pt,Facility
PT,38.7670358,-8.6260978,www.scmcanha.pt,Facility
PT,38.7470919,-9.188183,revelar.lisboa.pt,Facility
PT,37.0854205,-8.3166208,www.bellavita.pt,Facility
PT,38.5736272,-28.7798144,varadouropescas.pt,Commerce
PT,39.2674516,-9.335003,www.globalsurfschool.com,Facility
PT,38.7784816,-9.0970648,www.gira-bicicletasdelisboa.pt,Facility
PT,38.7091371,-9.1754314,revelar.lisboa.pt,Facility
PT,38.1543774,-6.9878066,valentim.org,Facility
PT,38.7755971,-9.1598299,revelar.lisboa.pt,Facility
PT,38.7754636,-9.2843993,www.mobie.pt,Facility
PT,38.4475675,-9.1992662,dev.igeo.pt,Facility
PT,38.7407419,-9.1467687,revelar.lisboa.pt,Facility
PT,39.0536328,-8.6693849,www.mobie.pt,Facility
PT,38.7309497,-9.1453449,www.telecom.pt,Facility
PT,38.69725,-9.2014093,revelar.lisboa.pt,Facility
PT,38.7197965,-9.1498181,revelar.lisboa.pt,Facility
PT,38.5729502,-7.9083508,www.psp.pt,Facility
PT,38.710834,-9.1378568,www.slbenfica.pt,Commerce
PT,40.1943385,-8.4080294,october.es,Commerce
PT,38.7110041,-9.1952242,www.bvajuda.pt,Facility
PT,37.4325835,-8.2717195,valentim.org,Facility
PT,38.7284701,-9.215873,www.mobie.pt,Facility
PT,39.7166099,-8.4163129,valentim.org,Facility
PT,38.7231998,-9.1521251,www.hotelflamingo.pt,Facility
PT,38.7307202,-9.1367418,dedalmania.pt,Commerce
PT,38.707147,-8.9877371,www.mobie.pt,Facility
PT,38.5616736,-9.0465659,www.ccqc.pt,Facility
PT,41.1467813,-8.6106258,www.hitsskebab.com,Facility
PT,38.7428215,-9.1034962,revelar.lisboa.pt,Facility
PT,38.7065413,-9.1696654,revelar.lisboa.pt,Facility
PT,40.6375652,-8.6362482,www.hospitaldaluz.pt,Facility
PT,38.7450458,-9.2004317,revelar.lisboa.pt,Facility
PT,38.3801802,-8.5160897,www.cm-alcacerdosal.pt,Commerce
PT,38.7258858,-8.6704571,www.mobie.pt,Facility
PT,38.7101754,-9.1346651,antigawinebar.eatbu.com,Facility
PT,38.8276571,-9.3162219,valentim.org,Facility
PT,38.7560149,-8.9636375,www.cm-alcochete.pt,Facility
PT,38.5406175,-8.8952699,www.mobie.pt,Facility
PT,38.5708535,-7.9114519,audicaoactiva.pt,Facility
PT,38.9806434,-9.0806287,www.mobie.pt,Facility
PT,38.7468876,-9.1203155,revelar.lisboa.pt,Facility
PT,38.7977753,-9.2759941,www.mobie.pt,Facility
PT,40.1970273,-8.4292963,www.exploratorio.pt,Facility
PT,38.3589417,-7.6851188,valentim.org,Facility
PT,38.7104936,-8.2746895,www.centrovoolivre.com,Facility
PT,41.7548681,-8.0955783,valentim.org,Facility
PT,38.7400369,-9.1013781,revelar.lisboa.pt,Facility
PT,39.6547168,-7.6774162,www.aevvr.pt,Facility
PT,39.5877363,-9.0736162,www.mobie.pt,Facility
PT,41.3111486,-7.7237745,www.intermarche.pt,Commerce
PT,32.721962,-16.803968,www.mobie.pt,Facility
PT,41.8781727,-8.8388975,www.dre.pt,Facility
PT,41.2958537,-7.7466962,www.hospitaldaluz.pt,Facility
PT,40.8103737,-7.8401342,valentim.org,Facility
PT,38.7714039,-9.1603562,revelar.lisboa.pt,Facility
PT,38.7548823,-9.1965642,lisbonbike.pt,Commerce
PT,40.8751654,-8.2807461,dev.igeo.pt,Facility
PT,41.5659907,-8.2543921,valentim.org,Facility
PT,37.3956925,-7.8373306,valentim.org,Facility
PT,37.4210923,-8.3089256,valentim.org,Facility
PT,38.7777988,-9.1021752,papopao.com,Commerce
PT,40.4902261,-7.299046,valentim.org,Facility
PT,38.8030425,-9.3808359,www.arcaicohandmade.com,Commerce
PT,38.704554,-9.1920922,revelar.lisboa.pt,Facility
PT,38.7994132,-9.3860109,padariasaloia.pt,Facility
PT,38.7775112,-9.1555868,revelar.lisboa.pt,Facility
PT,38.7563435,-9.1456554,revelar.lisboa.pt,Facility
PT,38.7175115,-9.1728222,revelar.lisboa.pt,Facility
PT,38.7695577,-9.0938125,www.mobie.pt,Facility
PT,36.9533524,-25.0280898,www.ilhape.com,Facility
PT,40.3330902,-8.4215635,ipagro.pt,Unknown
PT,40.3666774,-8.7903896,scrif.igeo.pt,Facility
PT,38.6955504,-9.304108,cspo.com.pt,Facility
PT,38.7149768,-9.1388358,revelar.lisboa.pt,Facility
PT,38.7209242,-9.1446742,revelar.lisboa.pt,Facility
PT,38.7707416,-9.1262386,www.aeroportolisboa.pt,Facility
PT,39.3899489,-9.2875895,www.mobie.pt,Facility
PT,39.6078111,-9.0751406,www.oceane-nazare.com,Facility
PT,41.3673977,-8.749809,www.mobie.pt,Facility
PT,40.667785,-7.0742501,www.mobie.pt,Facility
PT,38.7078601,-9.1765698,revelar.lisboa.pt,Facility
PT,32.6597323,-16.9747785,www.olagar.pt,Facility
PT,41.1474654,-8.6285272,www.antiqvvm.pt,Facility
PT,40.4424719,-7.5142634,beira.pt,Facility
PT,40.3802668,-7.4070818,valentim.org,Facility
PT,39.3603085,-9.1550941,moodlodging.com,Facility
PT,38.7477928,-9.1349809,revelar.lisboa.pt,Facility
PT,40.214665,-8.416229,www.arcadia.pt,Commerce
PT,38.7272636,-9.1346503,www.hostelsevenhills.com,Facility
PT,38.4323575,-7.363342,valentim.org,Facility
PT,38.7103095,-9.1616265,revelar.lisboa.pt,Facility
PT,38.9683938,-9.1972612,www.mobie.pt,Facility
PT,38.7058418,-9.1798333,revelar.lisboa.pt,Facility
PT,41.3548788,-8.5833277,armaco.pt,Facility
PT,38.7051691,-9.1838377,revelar.lisboa.pt,Facility
PT,38.7005472,-9.1804491,www.mobie.pt,Facility
PT,38.719784,-9.1527053,www.athenas.pt,Facility
PT,41.0663756,-8.36672,geossitios.progeo.pt,Facility
PT,40.192686,-8.4571379,www.ipst.pt,Facility
PT,39.4827716,-7.5471056,arqueologia.patrimoniocultural.pt,Facility
