country,lat,lon,website,place_type
SK,48.7181464,21.2607571,www.alza.sk,Commerce
SK,49.4228043,18.8410441,www.kysuckagaleria.sk,Facility
SK,48.7718361,18.6234916,prievidza.sk,Facility
SK,48.975348,20.4089245,www.hrabusice.sk,Facility
SK,48.7213294,21.2539398,lahacienda.sk,Facility
SK,49.4289026,18.7905066,www.csszarec.sk,Facility
SK,48.1455512,17.1521567,www.drudop.sk,Commerce
SK,48.6412685,18.4813134,www.cerenany.sk,Facility
SK,49.2172582,18.7697686,www.villanecas.sk,Facility
SK,48.5905688,17.8318858,jezuiti.sk,Facility
SK,48.3852575,18.6170859,www.tekovskabreznica.sk,Facility
SK,49.0249538,18.8649369,www.hrady-zamky.sk,Facility
SK,48.6967005,21.2512201,www.pacyga.sk,Commerce
SK,49.2203945,18.7404938,bitcoinmat.org,Commerce
SK,48.721953,17.3030629,www.coop.sk,Commerce
SK,48.6257726,18.368896,azul.sk,Facility
SK,48.132882,18.3258403,www.obectravnica.sk,Facility
SK,49.2198997,18.7346194,www.sopk.sk,Facility
SK,48.2244017,17.4049188,www.kaufland.sk,Commerce
SK,48.6332613,18.3902737,simonovany.webnode.sk,Facility
SK,48.7087924,21.2454895,www.freshobchod.sk,Commerce
SK,49.223373,21.7035632,www.breznicka-sp.sk,Facility
SK,48.9729918,19.5840901,www.iglobrothers.sk,Facility
SK,48.1529111,17.1266435,www.paas.sk,Facility
SK,49.0373212,18.9850097,zaborie.sk,Facility
SK,48.9873229,22.1518765,www.csob.sk,Commerce
SK,48.2559883,17.2630874,grobskydvor.sk,Facility
SK,48.1324895,17.1084354,asianshop.sk,Commerce
SK,48.6580022,17.0205721,www.drmax.sk,Facility
SK,49.0012815,21.2313279,kjellberg-trading.com,Commerce
SK,48.1455448,18.3684832,www.obectravnica.sk,Facility
SK,49.2477263,21.2566642,www.klusov.sk,Facility
SK,48.7913583,21.3074516,www.het.sk,Unknown
SK,48.5662164,19.1209531,www.hkmzvolen.sk,Facility
SK,48.1356134,17.2161483,galileoschool.edupage.org,Unknown
SK,48.6973126,20.9123066,pilamedzev.sk,Commerce
SK,48.9135103,21.1738208,www.lubovec.sk,Facility
SK,49.0221745,21.225762,www.gurureality.sk,Facility
SK,49.1117892,18.4372525,sadesport.sk,Commerce
SK,48.6718549,17.4579013,www.prietrz.sk,Unknown
SK,48.9955375,21.2407002,www.szusdama.sk,Facility
SK,49.0225108,21.2264269,www.aricoma.com,Facility
SK,49.2548286,19.0358045,www.airbnb.com,Facility
SK,48.730682,21.2434622,www.slsp.sk,Commerce
SK,48.1655848,17.1806614,www.nordsee.com,Facility
SK,48.1295383,17.0996443,www.navino.sk,Commerce
SK,48.2853909,17.7340928,fitxko.sk,Facility
SK,48.7324022,18.7692339,www.karantennastanicahandlova.sk,Facility
SK,49.1183869,19.6489876,www.smrecany.sk,Facility
SK,49.3589638,19.6089219,frantiskani.sk,Facility
SK,48.9994445,21.239119,www.gopresov.sk,Facility
SK,48.7523462,21.2393875,www.verejnybicykel.sk,Facility
SK,48.2869652,17.2688197,www.ocplus.sk,Unknown
SK,48.8180286,22.3003862,www.grkatke.sk,Facility
SK,48.1194831,17.0959501,b2c-sk.tiens.com,Facility
SK,48.1156181,17.1042296,petrzkabezodpadu.sk,Commerce
SK,48.1526423,17.1068133,polovnickakomora.sk,Facility
SK,47.7928176,18.7181366,www.billa.sk,Commerce
SK,48.1489999,17.1171307,www.klbkoshopa.eu,Commerce
SK,48.1007432,17.0988081,www.dekra.sk,Unknown
SK,48.8147043,17.1583378,www.autoservis-senigla.sk,Commerce
SK,49.1665064,20.2843273,www.tanap.sk,Facility
SK,48.8076744,17.1624629,kooperativa.sk,Facility
SK,48.9764263,18.0739561,nemsova.fara.sk,Facility
SK,48.1564677,17.1091431,www.paas.sk,Facility
SK,49.0395388,19.2785263,www.vlkolinec.sk,Facility
SK,48.1423862,17.1076414,ramenkazu.sk,Facility
SK,49.1293462,21.4800589,www.pamiatkynaslovensku.sk,Facility
SK,48.5941769,18.8517213,tesco.sk,Commerce
SK,48.7346266,19.152073,www.ssgbb.sk,Facility
SK,48.7222816,21.2681415,stanicakosice.sk,Facility
SK,49.0909787,19.3352931,www.martincek.sk,Facility
SK,48.5906374,17.8292478,www.cvcahoj.sk,Facility
SK,48.7246244,21.2596157,www.inforeal.sk,Facility
SK,48.9109754,20.874345,kniznicakrompachy.webnode.sk,Facility
SK,48.7852146,18.0475792,www.inoveckachata.sk,Facility
SK,48.713595,20.6654814,www.keturist.sk,Facility
SK,48.3896987,17.572286,fmk.sk,Facility
SK,49.1123898,19.5481675,www.rendez-vous.sk,Facility
SK,48.9984861,21.2390719,www.pantarhei.sk,Commerce
SK,48.1554516,17.1305475,www.fitworld.sk,Facility
